,E,Eh,El,ID,Th,Tl,index,log_B0
0,-0.125767060625,-0.103599142606,-0.0628835303124,21.0,42.3290976127,37.0573913796,0.0,0.0004516746
0,-0.125767060625,-0.103599142606,-0.0628835303124,22.0,42.3290976127,37.0573913796,0.0,0.0002181136
0,-0.125767060625,-0.103599142606,-0.0628835303124,23.0,42.3290976127,37.6586795733,0.0,0.0137671282
0,-0.125767060625,-0.103599142606,-0.0628835303124,24.0,42.3290976127,37.6586795733,0.0,0.1293964016
0,-0.125767060625,-0.103599142606,-0.0628835303124,25.0,42.3290976127,37.6586795733,0.0,0.1251274316
0,-0.125767060625,-0.103599142606,-0.0628835303124,26.0,42.3290976127,38.2798024427,0.0,5.01523414389e-08
0,-0.125767060625,-0.103599142606,-0.0628835303124,27.0,42.3290976127,38.2798024427,0.0,7.14417652778e-09
0,-0.125767060625,-0.103599142606,-0.0628835303124,28.0,42.3290976127,37.6586795733,0.0,8.33333333333e-06
0,-0.125767060625,-0.103599142606,-0.0628835303124,29.0,42.3290976127,37.6586795733,0.0,5.43981481481e-06
0,-0.125767060625,-0.103599142606,-0.0628835303124,30.0,42.3290976127,37.6586795733,0.0,5.55555555556e-07
0,-0.125767060625,-0.103599142606,-0.0628835303124,31.0,42.3290976127,39.0527414118,0.0,9.14351851852e-06
0,-0.125767060625,-0.103599142606,-0.0628835303124,32.0,42.3290976127,38.0289107341,0.0,3.14153935185e-12
0,-0.125767060625,-0.103599142606,-0.0628835303124,33.0,42.3290976127,38.0289107341,0.0,1.1839556e-07
0,-0.125767060625,-0.103599142606,-0.0628835303124,34.0,42.3290976127,38.2798024427,0.0,9.25925925926e-10
0,-0.125767060625,-0.103599142606,-0.0628835303124,35.0,42.3290976127,38.2798024427,0.0,1.15740740741e-10
0,-0.125767060625,-0.103599142606,-0.0628835303124,36.0,42.3290976127,38.4319328052,0.0,5.18077601852e-09
0,-0.125767060625,-0.103599142606,-0.0628835303124,37.0,42.3290976127,37.6586795733,0.0,7.01388888889e-07
0,-0.125767060625,-0.103599142606,-0.0628835303124,38.0,42.3290976127,36.9394305603,0.0,4.62384259259e-06
0,-0.125767060625,-0.103599142606,-0.0628835303124,39.0,42.3290976127,36.4750027048,0.0,5.86458333333e-06
0,-0.125767060625,-0.103599142606,-0.0628835303124,40.0,42.3290976127,37.6586795733,0.0,4.83912037037e-06
0,-0.125767060625,-0.103599142606,-0.0628835303124,41.0,42.3290976127,37.6586795733,0.0,2.63425925926e-06
0,-0.125767060625,-0.103599142606,-0.0628835303124,42.0,42.3290976127,37.6586795733,0.0,2.63425925926e-06
0,-0.125767060625,-0.103599142606,-0.0628835303124,43.0,42.3290976127,37.6586795733,0.0,4.64814814815e-06
0,-0.125767060625,-0.103599142606,-0.0628835303124,44.0,42.3290976127,38.0289107341,0.0,1.06481481481e-06
0,-0.125767060625,-0.103599142606,-0.0628835303124,45.0,42.3290976127,38.0289107341,0.0,9.9537037037e-07
0,-0.125767060625,-0.103599142606,-0.0628835303124,46.0,42.3290976127,38.0289107341,0.0,1.11111111111e-06
0,-0.125767060625,-0.103599142606,-0.0628835303124,47.0,42.3290976127,38.0289107341,0.0,8.91203703704e-07
0,-0.125767060625,-0.103599142606,-0.0628835303124,48.0,42.3290976127,38.0289107341,0.0,1.11111111111e-06
0,-0.125767060625,-0.103599142606,-0.0628835303124,49.0,42.3290976127,38.0289107341,0.0,9.25925925926e-07
0,-0.125767060625,-0.103599142606,-0.0628835303124,50.0,42.3290976127,37.6586795733,0.0,1.15740740741e-08
0,-0.125767060625,-0.103599142606,-0.0628835303124,51.0,42.3290976127,38.0289107341,0.0,5.78703703704e-09
0,-0.125767060625,-0.103599142606,-0.0628835303124,52.0,42.3290976127,37.6586795733,0.0,4.62962962963e-09
0,-0.125767060625,-0.103599142606,-0.0628835303124,53.0,42.3290976127,37.6586795733,0.0,1.04166666667e-08
0,-0.125767060625,-0.103599142606,-0.0628835303124,54.0,42.3290976127,37.6586795733,0.0,1.15740740741e-08
0,-0.125767060625,-0.103599142606,-0.0628835303124,55.0,42.3290976127,37.6586795733,0.0,6.94444444444e-09
0,-0.125767060625,-0.103599142606,-0.0628835303124,56.0,42.3290976127,37.6586795733,0.0,5.78703703704e-09
0,-0.125767060625,-0.103599142606,-0.0628835303124,57.0,42.3290976127,37.6586795733,0.0,8.10185185185e-09
0,-0.125767060625,-0.103599142606,-0.0628835303124,58.0,42.3290976127,37.4158378543,0.0,2.31481481481e-09
0,-0.125767060625,-0.103599142606,-0.0628835303124,59.0,42.3290976127,37.6586795733,0.0,8.10185185185e-09
0,-0.125767060625,-0.103599142606,-0.0628835303124,60.0,42.3290976127,37.6586795733,0.0,8.10185185185e-09
0,-0.125767060625,-0.103599142606,-0.0628835303124,61.0,42.3290976127,37.6586795733,0.0,9.25925925926e-09
