,ID,A,B,C,D,AIC,chi-squared,r-squared,status
0,1538,8.975415537104041,-1.2639564602001534,0.06584322480556247,-0.0009638076266094087,-8.285783559914481,8.859081539748495,0.6828204733777196,C
0,1539,-5.2515460383573815,1.0649146233053541,-0.05580138113695966,0.0010361235373685948,-12.16053107223302,6.575551128771332,0.7855883364293431,C
0,1540,3.1593987369615992,-0.723715229323726,0.07438821634065274,-0.0020954652785375315,-15.816455623395807,5.424584544186326,0.3060571946046825,C
0,1541,37.073058885202784,-6.746144525425236,0.40340742394685725,-0.007584003742906386,-1.5429655152971726,5.417635813469575,0.5754363245463125,C
0,1542,6.911527331850099,-0.7715031518953052,0.026366785069522194,-0.00023159236632751116,-2.5227442250134526,5.786383551869083,0.8993128313981971,C
0,1543,2.1343651240329624,-0.24952984975062406,0.010253004736405745,-9.938921459568433e-05,-38.042492525421814,0.25873064805360263,0.9749397020919484,C
0,1544,6.3497056615604635,-0.6525863033739695,0.02138197926032631,-0.0001857110952913793,-16.31285420093142,1.206394066595409,0.950930715234158,C
0,1545,2.5550865154682527,-0.28351178746548295,0.011825327139113911,-0.0001182471467525071,-33.37339270819583,0.2558095015371894,0.97338597783805,C
0,1546,3.9784448320568453,-0.43906396398832775,0.01589489435039848,-0.0001427947070775178,-7.894434987761731,3.827839375354346,0.8653246955224934,C
0,1547,1.8633570946382727,-0.20878974844703893,0.009545157865467824,-9.977796017230995e-05,-38.20050995349369,0.1649436981557188,0.9803153017921639,C
0,1548,3.9439751812106847,-0.4260931853481262,0.015359317404866108,-0.00014198713038761788,-24.91053883993846,0.772874766254193,0.9482765666593425,C
0,1549,1.0096168630076074,-0.11707696073486296,0.0062355841310666,-6.711911213093081e-05,-40.30304890053644,0.31642476064674396,0.9565224568677784,C
0,1550,47.75909325845421,-3.901135763503209,0.10455317938627115,-0.0008995185241690038,-102.30419163696006,0.14619931175571668,0.9779118415336152,C
0,1551,0.9776558651481931,-0.15903939463291095,0.008521584503570571,-0.00011716659878616785,-173.87968686786775,0.10882607516612697,0.9582742804648204,C
0,1552,6.000403021353885,-0.8165866232789555,0.029059818402298432,-0.00029677734858041016,-89.24206492976664,0.05574831337846391,0.9412814023407967,C
0,1553,8.444224061353502,-0.8324386095248142,0.026497193370163662,-0.00026599082709279174,-85.47162955354833,0.009801929814827675,0.9485087014074124,C
0,1554,0.19932662637182122,-0.039793905012465346,0.002498778904876726,-3.696605728395046e-05,-305.3506897414168,0.007765847785857447,0.9796826967489493,C
0,1555,81.23576316293497,-4.522373011934564,0.08295487094225813,-0.0004947356777274361,-37.88249783525104,0.009964441243035967,0.9963307649548165,C
0,1556,49.45534632584998,-2.7209634546110597,0.04941736505914583,-0.00029439038615294524,-29.06287318072051,0.0030180730211714817,0.9784004824012539,C
0,1557,116.8282475082065,-4.386420836977015,0.05506633228581637,-0.00022862339480247536,-6.198368954475766,0.9208774872558905,0.9866341647203815,C
0,1558,-4489.084489905365,164.10355638474738,-1.977829352862537,0.007880421223784718,4.704703187956058,2.586688665062464,0.9736476131891967,C
0,1559,27.374276973241752,-1.4481670643317657,0.025335148577458815,-0.00014591328976442582,-50.5295211837405,0.0003480512816225486,0.9842520785264629,C
0,1560,0.5076374004738164,-0.07100725022926689,0.0016800291113887745,-9.890019721832933e-06,-26.967678274301534,0.45795490046361975,0.5702590000874337,C
0,1561,0.22933753119439804,-0.02607104440976869,0.0009469868344214992,-1.0254693945307114e-05,-48.012130951843375,6.820530038125266e-05,0.9407128375607634,C
0,1562,-0.027238552220142452,-0.0013849371147490752,0.00022483269815089325,-3.6573902542818124e-06,-58.11310906096388,9.04603606783033e-06,0.992202753483658,C
0,1563,0.08270485947391512,-0.010928953204584906,0.00046901249693467027,-5.570765667877608e-06,-47.27189001431266,7.908873638952158e-05,0.9000485092251029,C
0,1564,1193.2088024841612,-23.824782042571442,0.1258700054290471,-6.740439773082253e-05,-8.357429180051657,0.6764711704007808,0.9850172138464975,C
0,1565,202.2756691885289,-12.830213065773743,0.25879722550335094,-0.0016041591748687358,19.795905772076445,32.069287532968275,0.9540352951892497,C
0,1566,-1.1028045276448863,0.07974254483311236,-0.0014058467953991431,6.923608479377098e-06,-53.89936436027732,0.009274537158282978,0.8896619776790569,C
0,1567,-393.04664971882204,17.023615402794917,-0.23458017678645524,0.0010468266817807031,-20.656343799257314,0.01621480042385429,0.9991153832636416,C
0,1568,77.40824568255029,-4.766331858452953,0.09608406349666405,-0.000631522439181335,-15.10728955812506,0.12752339294607293,0.8740900959202215,C
0,1569,0.029855822019121896,0.0051616620797230355,1.9529022524115313e-05,-1.943491573194297e-05,-197.35646769480823,0.00038441180825842886,0.9336562961543516,C
0,1570,0.031738776004702096,0.0029547508447713916,-3.7348782315879675e-05,-6.045548439535232e-06,-187.9368952308508,7.686443826581596e-05,0.9671577656365241,C
0,1571,0.026448641447902856,0.005702769262538779,-4.260866146536297e-05,-1.5405516561446452e-05,-181.3009592244931,0.00048743763738595496,0.9148626624814935,C
0,1572,0.032593279033910384,0.004885420046425645,2.7621301505762707e-05,-8.766298626088225e-06,-210.9711518976567,0.001046617520459087,0.9240516282376678,C
0,1573,0.017834282094170335,0.0014322938106601233,-1.3795378192647088e-05,-2.1323743574672303e-06,-308.8984087088058,1.2207858554694668e-05,0.9859205732485197,C
0,1574,-12957.80170304072,548.060538735137,-7.6009001289569,0.03473554126428669,31.5598582376703,152.08260411983642,0.9737101500988139,C
0,1575,-6647.769552254789,344.8896829823168,-5.7540442565346295,0.031318499840992754,46.86035508687266,1803.328579766566,0.7739361895076367,C
0,1576,47.661881682513645,-2.31604579902265,0.0370271396173941,-0.0001940277107233357,-31.58151737965686,0.056798342740914255,0.8050898290950442,C
0,1577,1.6657009796929563,-0.11692975883049316,0.0026355099664889785,-1.830708537103336e-05,-76.6294991484508,0.0021114828161323336,0.9533229222495211,C
0,1578,-0.16371752213349772,0.0018154922870495167,0.0003110585440867495,-4.918026079902172e-06,-50.71330031051587,0.0015936884315016664,0.8038314388530116,C
0,1579,0.36520411911999767,-0.05451467698870954,0.0024145238194996587,-2.9539026395918708e-05,-70.56677112115145,0.003871582196752537,0.9097123517998432,C
0,1580,-6.278431514980665,0.5979666704183766,-0.01753798459032696,0.000163244037038291,-30.919189582125092,0.00914295055485419,0.9106956182513658,C
0,1581,-0.9274241757350257,0.03176751273374413,0.0005387801944453542,-1.2402852513788029e-05,-68.56864925887064,0.001817300504815494,0.9928224999753219,C
0,1582,0.051973024310394834,0.02884662797326996,0.00017016119284916058,-1.2855367264857065e-06,-93.77386409878666,0.027645901663507347,0.979521836338025,C
0,1583,257.1783581302759,-20.310919930934197,0.4848087403639044,-0.0033335094104240434,61.52979712637194,6442.462890983512,0.5750460193379219,C
0,1584,0.3637203551069069,-0.05312680168837506,0.004536132279081584,-6.918496759944739e-05,-92.24192529159399,0.13313867949525313,0.9307727953653379,C
0,1585,3180.708621539609,-186.47675088543838,3.61079558611473,-0.02301312029310585,17.84794560704503,30.972005158214092,0.9075178927048965,C
0,1586,39.905804148604155,-2.428753353511885,0.04851406174144554,-0.0003103691233084469,-19.808170713328067,0.1317715329276143,0.9465569966174918,C
