,ID,A,B,C,D,AIC,BIC,chi-squared
0,546,-19367.5142174,191.872166932,-0.633496446128,0.000696703454267,4.0949508843,3.87859148052,4.00701265419
0,547,6731.77757039,-68.5448960874,0.2322310632,-0.000262215537486,-22.6647556878,-24.2270040381,0.0108508351985
0,548,-13135.1719085,130.47503672,-0.432250348793,0.000477213102699,-8.04012567045,-8.25648507423,0.707840583425
0,549,-22369.2101097,222.03445403,-0.734492615607,0.000809385512192,3.21119363656,2.99483423278,3.53175514035
0,550,3628.73214081,-37.1994860544,0.12668272144,-0.000143753907578,-19.5038073916,-21.0660557419,0.0204183031759
0,551,-17071.8983729,169.78531681,-0.562996193951,0.000622052417339,-7.33883818882,-7.5551975926,0.782428723146
0,552,-19120.1696334,189.584897451,-0.626515173546,0.000689675411688,0.454030331919,0.23767092814,2.38193809561
0,553,3363.36022457,-34.8047875194,0.119550789495,-0.000136746907153,-10.7874134217,-12.349661772,0.116712133671
0,554,-15588.4920538,154.960993764,-0.513625496244,0.000567246653349,-8.17239790951,-8.38875731329,0.694590782181
0,555,-16701.6400922,162.59146114,-0.527060517889,0.00056858483697,9.75971532959,9.54335592581,9.00066130781
0,556,10191.671156,-103.778549062,0.351767368311,-0.000397270326375,-17.6294410076,-19.1916893579,0.0297046913096
0,557,-13892.8251002,137.180279357,-0.451548344697,0.000495129853778,0.355720821059,0.13936141728,2.34871945377
0,558,-21929.5045661,217.91798378,-0.721622987274,0.000795956366245,3.55775471382,2.72479259073,2.86161243626
0,559,-17673.6940142,175.969676686,-0.584094062549,0.000645957046938,-0.173140898306,-1.00610302139,1.53659559927
0,560,-21029.0338753,209.492389866,-0.695574584491,0.000769380966304,2.09864537546,1.26568325238,2.24386621105
0,561,-23850.3324329,237.113536288,-0.785520637325,0.000866769110953,5.79170377753,4.95874165444,4.15249807453
0,562,-17335.8475164,172.57029891,-0.572718724465,0.000633293883296,-2.2576530998,-3.09061522288,1.0856193127
0,563,-21435.54193,213.528594162,-0.708919748829,0.000784076427366,1.2182356597,0.385273536614,1.93762968173
0,564,-23277.6865967,231.646649609,-0.768217614403,0.000848631881638,3.02482261961,2.19186049653,2.61839946312
0,565,-18717.2341099,186.425233857,-0.619000314795,0.000684782154845,-1.45664758368,-2.28960970677,1.24066997809
