,ID,B0,E,Eh,El,Th,Tl,AIC,chi-squared,r-squared,status
0,23,1.1004474634646044e-05,0.8506666099402682,1.7913530438676228,0.0007743194759770589,307.75774044241103,351.4066224342177,-159.1318410953188,0.004029707575481575,0.9989407060741069,C
0,24,,,,,,,,,,NC
0,25,0.0009848877695715075,1.0079247826685025,0.9805302419418807,0.9811130501661913,281.66733073704916,285.8081432372149,-139.90401871586687,0.00024154663716761853,0.9981206299133969,C
0,26,,,,,,,,,,lessX
0,27,,,,,,,,,,lessX
0,28,,,,,,,,,,lessX
0,29,,,,,,,,,,lessX
0,30,,,,,,,,,,lessX
0,31,,,,,,,,,,NC
0,32,0.00018235272358624321,1.4950202327641304,2.5808696082487708,128.3791776850183,1022.5661164780281,-467.2573233188332,-83.09255172628949,5.4844336372035505,-0.46720783439771707,C
0,33,3.359867939423111e-11,0.7506333857844121,3.125493933405557,0.009779470811573265,306.2809175256376,328.11430463044434,-467.4340057615122,0.0185412926766743,0.9918223017412315,C
0,34,,,,,,,,,,lessX
0,35,,,,,,,,,,lessX
0,36,0.4656183759943786,1.3492513237889385,0.0033500673637345546,2.378652006211723,343.092905975809,295.9154496569419,-29.592897139386423,0.004427926553969582,0.9965154847840313,C
0,37,0.15669582166370644,3.272478195187885,6.008543058239675,2.560188621922859,293.6446545574608,282.1493192345388,-86.74224568668325,0.06841174321994117,0.9878839640419749,C
0,38,0.7669592672005392,0.5958092482333743,3.896982787930403,0.0002399034486784135,311.47092742917175,359.70075657387395,-29.07035593503919,0.031070816604097534,0.9815197227635012,C
0,39,0.5059910467172173,0.5174077462155078,8.192893503037213,2.0141233558863463,315.8137633077343,315.2249193629192,-79.5091678934147,0.0005315535526776577,0.999574710060641,C
0,40,0.8712649070774412,2.533087545648215,26.5295554026017,2.361685438127495,306.16042133019744,282.9125329774614,-45.42610236583131,0.00034910138010842427,0.9991554926103503,C
0,41,1.5190126959509342,18.382296387192877,19.674996153805083,17.8124794675346,284.375524994174,282.48041346670567,-29.577655545309696,0.014584473226872185,0.9654653732547392,C
0,42,0.21956502349046114,0.559599540469486,2.4070078239013672,3.7015689332235775,302.3673979916764,430.4529890937134,-35.83735069437329,0.01094605567256922,0.9799415512039272,C
0,43,3.2061344771693667,18.501214736396037,51.014470232168534,18.130878887548942,298.7161659932022,282.4113396302799,-30.830262205401752,0.005134025328760967,0.9928869318480557,C
0,44,0.05250488141026066,1.1444183692799381,8.835159903997081e-05,2.488259796259022,310.7665474374045,301.01386657331057,-48.13933028694879,0.006692473575776892,0.9918286747270975,C
0,45,3.559050054668944e-08,14.701351956969217,18.659989019215345,13.82223953973789,293.68692175210185,290.26085976550485,-46.36712060777103,0.007043363617751693,0.9852069185671334,C
0,46,,,,,,,,,,NC
0,47,1.3472148951976237e-08,14.65940545280159,18.94209074311401,14.10321294619096,294.28789696016327,290.912143264584,-39.59419582338307,0.0266551767987009,0.9360081875762267,C
0,48,0.06240445208819678,1.0028214842260281,0.00039346688902797133,2.889250522256322,308.2641529871329,302.9517597009541,-52.192807013078294,0.0021437040953528287,0.9962576331511236,C
